Season,Date,Plate_ID,Plate_Type,Group,Tide_height_avg
Spring,2024_05_11,F1,Female,1,15.35
Spring,2024_05_11,M1,Male,1,15.35
Spring,2024_05_11,F2,Female,2,NA
Spring,2024_05_11,M2,Male,2,NA
Spring,2024_05_11,F3,Female,3,10.45
Spring,2024_05_11,M3,Male,3,10.45
Spring,2024_05_11,F4,Female,4,13.27
Spring,2024_05_11,M4,Male,4,13.27
Spring,2024_05_11,F5,Female,5,10.67
Spring,2024_05_11,M5,Male,5,10.67
Spring,2024_05_11,F6,Female,6,9.67
Spring,2024_05_11,M6,Male,6,9.67
Spring,2024_05_11,F7,Female,7,12.44
Spring,2024_05_11,M7,Male,7,12.44
Spring,2024_05_11,F8,Female,8,14.7
Spring,2024_05_11,M8,Male,8,14.7
Spring,2024_05_11,F9,Female,9,9.8
Spring,2024_05_11,M9,Male,9,9.8
Spring,2024_05_11,F10,Female,10,11.7
Spring,2024_05_11,M10,Male,10,11.7
Spring,2024_05_11,C1,Control,1,13.55
Spring,2024_05_11,C2,Control,2,9
Spring,2024_05_11,C3,Control,3,14.25
Spring,2024_05_11,C4,Control,4,10.15
